"MaTinh","TenTinh","MaQuanHuyen","TenQuanHuyen","MaPhuongXa","TenPhuongXa","LoaiHinh","LoaiDoThi"
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00301","Phường Vĩnh Hưng","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00316","Phường Định Công","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00322","Phường Tương Mai","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00328","Phường Lĩnh Nam","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00331","Phường Hoàng Mai","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00337","Phường Hoàng Liệt","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00340","Phường Yên Sở","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00352","Phường Phương Liệt","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00364","Phường Khương Đình","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00367","Phường Thanh Xuân","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00376","Xã Sóc Sơn","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00382","Xã Kim Anh","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00385","Xã Trung Giã","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00430","Xã Đa Phúc","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00433","Xã Nội Bài","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00454","Xã Đông Anh","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00466","Xã Phúc Thịnh","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00475","Xã Thư Lâm","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00493","Xã Thiên Lộc","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00508","Xã Vĩnh Thanh","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00541","Xã Phù Đổng","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00562","Xã Thuận An","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00565","Xã Gia Lâm","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00577","Xã Bát Tràng","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00592","Phường Từ Liêm","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00598","Phường Thượng Cát","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00602","Phường Đông Ngạc","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00611","Phường Xuân Đỉnh","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00613","Phường Tây Tựu","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00619","Phường Phú Diễn","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00622","Phường Xuân Phương","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00634","Phường Tây Mỗ","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00637","Phường Đại Mỗ","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00640","Xã Thanh Trì","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00643","Phường Thanh Liệt","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00664","Xã Đại Thanh","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00679","Xã Ngọc Hồi","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00685","Xã Nam Phù","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","04930","Xã Yên Xuân","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","08974","Xã Quang Minh","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","08980","Xã Yên Lãng","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","08995","Xã Tiến Thắng","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09022","Xã Mê Linh","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09552","Phường Kiến Hưng","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09556","Phường Hà Đông","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09562","Phường Yên Nghĩa","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09568","Phường Phú Lương","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09574","Phường Sơn Tây","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09604","Phường Tùng Thiện","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09616","Xã Đoài Phương","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09619","Xã Quảng Oai","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09634","Xã Cổ Đô","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09661","Xã Minh Châu","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09664","Xã Vật Lại","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09676","Xã Bất Bạt","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09694","Xã Suối Hai","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09700","Xã Ba Vì","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09706","Xã Yên Bài","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09715","Xã Phúc Thọ","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09739","Xã Phúc Lộc","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09772","Xã Hát Môn","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09784","Xã Đan Phượng","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09787","Xã Liên Minh","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09817","Xã Ô Diên","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09832","Xã Hoài Đức","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09856","Xã Dương Hòa","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09871","Xã Sơn Đồng","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09877","Xã An Khánh","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09886","Phường Dương Nội","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09895","Xã Quốc Oai","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09910","Xã Kiều Phú","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09931","Xã Hưng Đạo","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09952","Xã Phú Cát","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09955","Xã Thạch Thất","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09982","Xã Hạ Bằng","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","09988","Xã Hòa Lạc","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10003","Xã Tây Phương","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10015","Phường Chương Mỹ","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10030","Xã Phú Nghĩa","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10045","Xã Xuân Mai","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10072","Xã Quảng Bị","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10081","Xã Trần Phú","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10096","Xã Hòa Phú","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10114","Xã Thanh Oai","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10126","Xã Bình Minh","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10144","Xã Tam Hưng","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10180","Xã Dân Hòa","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10183","Xã Thường Tín","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10210","Xã Hồng Vân","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10231","Xã Thượng Phúc","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10237","Xã Chương Dương","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10273","Xã Phú Xuyên","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10279","Xã Phượng Dực","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10330","Xã Chuyên Mỹ","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10342","Xã Đại Xuyên","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10354","Xã Vân Đình","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10369","Xã Ứng Thiên","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10402","Xã Ứng Hòa","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10417","Xã Hòa Xá","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10441","Xã Mỹ Đức","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10459","Xã Phúc Sơn","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10465","Xã Hồng Sơn","Xã",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","10489","Xã Hương Sơn","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01273","Phường Thục Phán","Phường",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01279","Phường Nùng Trí Cao","Phường",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01288","Phường Tân Giang","Phường",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01290","Xã Bảo Lâm","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01294","Xã Lý Bôn","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01297","Xã Nam Quang","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01304","Xã Quảng Lâm","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01318","Xã Yên Thổ","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01321","Xã Bảo Lạc","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01324","Xã Cốc Pàng","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01327","Xã Cô Ba","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01336","Xã Khánh Xuân","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01339","Xã Xuân Trường","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01351","Xã Hưng Đạo","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01354","Xã Huy Giáp","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01360","Xã Sơn Lộ","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01363","Xã Thông Nông","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01366","Xã Cần Yên","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01387","Xã Thanh Long","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01392","Xã Trường Hà","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01393","Xã Lũng Nặm","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01414","Xã Tổng Cọt","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01438","Xã Hà Quảng","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01447","Xã Trà Lĩnh","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01456","Xã Quang Hán","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01465","Xã Quang Trung","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01477","Xã Trùng Khánh","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01489","Xã Đình Phong","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01501","Xã Đàm Thủy","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01525","Xã Đoài Dương","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01537","Xã Lý Quốc","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01552","Xã Quang Long","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01558","Xã Hạ Lang","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01561","Xã Vinh Quý","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01576","Xã Quảng Uyên","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01594","Xã Độc Lập","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01618","Xã Hạnh Phúc","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01636","Xã Bế Văn Đàn","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01648","Xã Phục Hòa","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01654","Xã Hòa An","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01660","Xã Nam Tuấn","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01699","Xã Nguyễn Huệ","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01708","Xã Bạch Đằng","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01726","Xã Nguyên Bình","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01729","Xã Tĩnh Túc","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01738","Xã Ca Thành","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01747","Xã Minh Tâm","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01768","Xã Phan Thanh","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01774","Xã Tam Kim","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01777","Xã Thành Công","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01786","Xã Đông Khê","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01789","Xã Canh Tân","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01792","Xã Kim Đồng","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01795","Xã Minh Khai","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01807","Xã Thạch An","Xã",""
"04","Tỉnh Cao Bằng","04","Tỉnh Cao Bằng","01822","Xã Đức Long","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00691","Phường Hà Giang 2","Phường",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00694","Phường Hà Giang 1","Phường",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00700","Xã Ngọc Đường","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00706","Xã Phú Linh","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00715","Xã Lũng Cú","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00721","Xã Đồng Văn","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00733","Xã Sà Phìn","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00745","Xã Phố Bảng","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00763","Xã Lũng Phìn","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00769","Xã Mèo Vạc","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00778","Xã Sơn Vĩ","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00787","Xã Sủng Máng","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00802","Xã Khâu Vai","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00808","Xã Tát Ngà","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00817","Xã Niêm Sơn","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00820","Xã Yên Minh","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00829","Xã Thắng Mố","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00832","Xã Bạch Đích","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00847","Xã Mậu Duệ","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00859","Xã Ngọc Long","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00865","Xã Đường Thượng","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00871","Xã Du Già","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00874","Xã Quản Bạ","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00883","Xã Cán Tỷ","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00889","Xã Nghĩa Thuận","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00892","Xã Tùng Vài","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00901","Xã Lùng Tám","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00913","Xã Vị Xuyên","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00919","Xã Minh Tân","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00922","Xã Thuận Hoà","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00925","Xã Tùng Bá","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00928","Xã Thanh Thủy","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00937","Xã Lao Chải","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00952","Xã Cao Bồ","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00958","Xã Thượng Sơn","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00967","Xã Việt Lâm","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00970","Xã Linh Hồ","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00976","Xã Bạch Ngọc","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00982","Xã Minh Sơn","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00985","Xã Giáp Trung","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00991","Xã Bắc Mê","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","00994","Xã Minh Ngọc","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01006","Xã Yên Cường","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01012","Xã Đường Hồng","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01021","Xã Hoàng Su Phì","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01024","Xã Bản Máy","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01033","Xã Thàng Tín","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01051","Xã Tân Tiến","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01057","Xã Pờ Ly Ngài","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01075","Xã Nậm Dịch","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01084","Xã Hồ Thầu","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01090","Xã Thông Nguyên","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01096","Xã Pà Vầy Sủ","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01108","Xã Xín Mần","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01117","Xã Trung Thịnh","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01141","Xã Nấm Dẩn","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01144","Xã Quảng Nguyên","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01147","Xã Khuôn Lùng","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01153","Xã Bắc Quang","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01156","Xã Vĩnh Tuy","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01165","Xã Đồng Tâm","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01171","Xã Tân Quang","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01180","Xã Bằng Hành","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01192","Xã Liên Hiệp","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01201","Xã Hùng An","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01216","Xã Đồng Yên","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01225","Xã Tiên Nguyên","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01234","Xã Yên Thành","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01237","Xã Quang Bình","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01243","Xã Tân Trịnh","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01246","Xã Bằng Lang","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01255","Xã Xuân Giang","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","01261","Xã Tiên Yên","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","02212","Phường Nông Tiến","Phường",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","02215","Phường Minh Xuân","Phường",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","02221","Xã Nà Hang","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","02239","Xã Thượng Nông","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","02245","Xã Côn Lôn","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","02248","Xã Yên Hoa","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","02260","Xã Hồng Thái","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","02266","Xã Lâm Bình","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","02269","Xã Thượng Lâm","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","02287","Xã Chiêm Hoá","Xã",""
"08","Tỉnh Tuyên Quang","08","Tỉnh Tuyên Quang","02296","Xã Bình An","Xã",""
